Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://wsj.com,https://feeds.a.dj.com/rss/RSSWorldNews.xml,WSJ World News,World News,Enabled,,,article,,wsj.com,World News,68,
https://verywellmind.com,https://www.verywellmind.com/feeds/google-news,Verywell Mind,Health,Enabled,,,article,,verywellmind.com,Health,69,
https://time.com,https://www.time.com/rss,TIME,Top News,Enabled,,,article,,time.com,Top News,70,
https://windowscentral.com,https://www.windowscentral.com/rss.xml,Windows Central,Technology,Enabled,,,article,,windowscentral.com,Technology,71,
https://hbr.org,https://feeds.hbr.org/harvardbusiness/,Harvard Business Review,Business,Enabled,,,article,,hbr.org,Business,72,
https://verywellhealth.com,https://www.verywellhealth.com/feeds/google-news,Verywell Health,Health,Enabled,,,article,,verywellhealth.com,Health,73,
https://scroll.in,http://feeds.feedburner.com/ScrollinArticles.rss,Scroll.in,Top News,Enabled,,,article,,scroll.in,Top News,74,
https://dzone.com,https://dzone.com/pages/feeds,DZone,Technology,Enabled,,,article,,dzone.com,Technology,75,
https://wired.com,https://www.wired.com/feed,Wired,Technology,Enabled,,,article,,wired.com,Technology,76,
https://aljazeera.com,https://www.aljazeera.com/xml/rss/all.xml,Al Jazeera,Top News,Enabled,,,article,,aljazeera.com,Top News,77,
